"","original_reaction","reaction_ID","xml_equation","bigg_name"
"669","GLYTRS: atp_c + gly_c + trnagly_c --> amp_c + glytrna_c + ppi_c","GLYTRS"," atp_c + gly_c + trnagly_c --> amp_c + glytrna_c + ppi_c","Glycyl-tRNA synthetase"
"670","GLYt2m: gly_m + h_m --> gly_c + h_c","GLYt2m"," gly_m + h_m --> gly_c + h_c","Glycine mitochondrial transport via proton symport"
"671","GLYt2r: gly_e + h_e <=> gly_c + h_c","GLYt2r"," gly_e + h_e <=> gly_c + h_c","Glycine reversible transport via proton symport"
"672","GMPS2: atp_c + gln_L_c + h2o_c + xmp_c --> amp_c + glu_L_c + gmp_c + 2.0 h_c + ppi_c","GMPS2"," atp_c + gln_L_c + h2o_c + xmp_c --> amp_c + glu_L_c + gmp_c + 2.0 h_c + ppi_c","GMP synthase"
"673","RPE: ru5p_D_c <=> xu5p_D_c","RPE"," ru5p_D_c <=> xu5p_D_c","Ribulose 5-phosphate 3-epimerase"
"674","GNNUC: gsn_c + h2o_c --> gua_c + rib_D_c","GNNUC"," gsn_c + h2o_c --> gua_c + rib_D_c","Ribosylpyrimidine nucleosidase"
"675","GRTT: grdp_c + ipdp_c --> frdp_c + ppi_c","GRTT"," grdp_c + ipdp_c --> frdp_c + ppi_c","Geranyltranstransferase"
"676","GSNK: atp_c + gsn_c --> adp_c + gmp_c + h_c","GSNK"," atp_c + gsn_c --> adp_c + gmp_c + h_c","Guanosine kinase"
"677","GSNt2: gsn_e + h_e --> gsn_c + h_c","GSNt2"," gsn_e + h_e --> gsn_c + h_c","Guanosine transport in via proton symport"
"678","GSNt2m: gsn_c + h_c <=> gsn_m + h_m","GSNt2m"," gsn_c + h_c <=> gsn_m + h_m","Guanosine mitochondrial transport via proton symport"
"679","GTHO: gthox_c + h_c + nadph_c --> 2.0 gthrd_c + nadp_c","GTHO"," gthox_c + h_c + nadph_c --> 2.0 gthrd_c + nadp_c",NA
"680","GTHOXti: gthox_e --> gthox_c","GTHOXti"," gthox_e --> gthox_c","Oxidized glutathione irreversible uniport"
"681","GTHP: 2.0 gthrd_c + h2o2_c <=> gthox_c + 2.0 h2o_c","GTHP"," 2.0 gthrd_c + h2o2_c <=> gthox_c + 2.0 h2o_c",NA
"682","GTHS: atp_c + glucys_c + gly_c --> adp_c + gthrd_c + h_c + pi_c","GTHS"," atp_c + glucys_c + gly_c --> adp_c + gthrd_c + h_c + pi_c","Glutathione synthetase"
"683","GTMLT: ala_L_c + gthrd_c --> cgly_c + gluala_c","GTMLT"," ala_L_c + gthrd_c --> cgly_c + gluala_c","G glutamyltransferase"
"684","GTPCII: gtp_c + 3.0 h2o_c --> 25dhpp_c + for_c + 2.0 h_c + ppi_c","GTPCII"," gtp_c + 3.0 h2o_c --> 25dhpp_c + for_c + 2.0 h_c + ppi_c","GTP cyclohydrolase II"
"685","GUAPRT: gua_c + prpp_c --> gmp_c + ppi_c","GUAPRT"," gua_c + prpp_c --> gmp_c + ppi_c","Guanine phosphoribosyltransferase"
"686","GUAt2r: gua_e + h_e <=> gua_c + h_c","GUAt2r"," gua_e + h_e <=> gua_c + h_c","Guanine reversible transport via proton symport"
"687","GUAtm: gua_c <=> gua_m","GUAtm"," gua_c <=> gua_m","Guanine mitochondrial transport via diffusion"
"688","RPI: r5p_c <=> ru5p_D_c","RPI"," r5p_c <=> ru5p_D_c","Ribose-5-phosphate isomerase"
"689","H2Oter: h2o_c <=> h2o_r","H2Oter"," h2o_c <=> h2o_r","H2O endoplasmic reticulum transport"
"690","H2Otm: h2o_c <=> h2o_m","H2Otm"," h2o_c <=> h2o_m","H2O transport  mitochondrial"
"691","TKT2: e4p_c + xu5p_D_c <=> f6p_c + g3p_c","TKT2"," e4p_c + xu5p_D_c <=> f6p_c + g3p_c","Transketolase"
"692","H2Otp: h2o_c <=> h2o_x","H2Otp"," h2o_c <=> h2o_x","H2O transport  peroxisomal"
"693","H2Otv: h2o_c <=> h2o_v","H2Otv"," h2o_c <=> h2o_v","H2O transport  vacuolar"
"694","HACD10p: 3hxccoa_x + nad_x <=> 3ohxccoa_x + h_x + nadh_x","HACD10p"," 3hxccoa_x + nad_x <=> 3ohxccoa_x + h_x + nadh_x","3 hydroxyacyl CoA dehydrogenase  3 oxohexacosyl CoA   peroxisomal"
"695","HACD4p: 3odcoa_x + h_x + nadh_x <=> 3hdcoa_x + nad_x","HACD4p"," 3odcoa_x + h_x + nadh_x <=> 3hdcoa_x + nad_x","3 hydroxyacyl CoA dehydrogenase  3 oxodecanoyl CoA   peroxisomal"
"696","HACD5p: 3oddcoa_x + h_x + nadh_x <=> 3hddcoa_x + nad_x","HACD5p"," 3oddcoa_x + h_x + nadh_x <=> 3hddcoa_x + nad_x","3 hydroxyacyl CoA dehydrogenase  3 oxodecanoyl CoA   peroxisomal"
"697","HACD6p: 3otdcoa_x + h_x + nadh_x <=> 3htdcoa_x + nad_x","HACD6p"," 3otdcoa_x + h_x + nadh_x <=> 3htdcoa_x + nad_x","3 Hydroxyacyl CoA dehydrogenase  3 oxotetradecanoyl CoA   peroxisomal"
"698","HACD7p: 3ohdcoa_x + h_x + nadh_x <=> 3hhdcoa_x + nad_x","HACD7p"," 3ohdcoa_x + h_x + nadh_x <=> 3hhdcoa_x + nad_x","3 hydroxyacyl CoA dehydrogenase  3 oxohexadecanoyl CoA   peroxisomal"
"699","HACD8p: 3ohodcoa_x + h_x + nadh_x <=> 3hodcoa_x + nad_x","HACD8p"," 3ohodcoa_x + h_x + nadh_x <=> 3hodcoa_x + nad_x","3 hydroxyacyl CoA dehydrogenase  3 oxooctadecanoyl CoA   peroxisomal"
"700","AGAT_SC: 0.01 1ag3p_SC_c + 0.02 dcacoa_c + 0.06 ddcacoa_c + 0.17 hdcoa_c + 0.09 ocdycacoa_c + 0.24 odecoa_c + 0.27 pmtcoa_c + 0.05 stcoa_c + 0.1 tdcoa_c --> coa_c + 0.01 pa_SC_c","AGAT_SC"," 0.01 1ag3p_SC_c + 0.02 dcacoa_c + 0.06 ddcacoa_c + 0.17 hdcoa_c + 0.09 ocdycacoa_c + 0.24 odecoa_c + 0.27 pmtcoa_c + 0.05 stcoa_c + 0.1 tdcoa_c --> coa_c + 0.01 pa_SC_c","1 Acyl glycerol 3 phosphate acyltransferase  yeast specific"
"701","HBZOPT6: 4hbz_c + octdp_5_c --> 3ophb_5_c + ppi_c","HBZOPT6"," 4hbz_c + octdp_5_c --> 3ophb_5_c + ppi_c",NA
"702","HBZOPT6m: 4hbz_m + octdp_5_m --> 3ophb_5_m + ppi_m","HBZOPT6m"," 4hbz_m + octdp_5_m --> 3ophb_5_m + ppi_m","Hydroxybenzoate octaprenyltransferase  mitochondrial"
"703","DAGPYP_SC: h2o_c + 0.01 pa_SC_c --> 0.01 12dgr_SC_c + pi_c","DAGPYP_SC"," h2o_c + 0.01 pa_SC_c --> 0.01 12dgr_SC_c + pi_c","Diacylglycerol pyrophosphate phosphatase  yeast specific"
"704","HCO3E: co2_c + h2o_c <=> h_c + hco3_c","HCO3E"," co2_c + h2o_c <=> h_c + hco3_c","HCO3 equilibration reaction"
"705","HCO3Em: co2_m + h2o_m <=> h_m + hco3_m","HCO3Em"," co2_m + h2o_m <=> h_m + hco3_m","HCO3 equilibration reaction"
"706","HCO3En: co2_n + h2o_n <=> h_n + hco3_n","HCO3En"," co2_n + h2o_n <=> h_n + hco3_n","HCO3 equilibrium reaction  nuclear"
"707","HCYSMT: amet_c + hcys_L_c --> ahcys_c + h_c + met_L_c","HCYSMT"," amet_c + hcys_L_c --> ahcys_c + h_c + met_L_c","Homocysteine S-methyltransferase"
"708","HCYSt2p: h_c + hcys_L_c <=> h_x + hcys_L_x","HCYSt2p"," h_c + hcys_L_c <=> h_x + hcys_L_x","Homocysteine peroxisomal transport via proton symport"
"709","HDCAt: hdca_e --> hdca_c","HDCAt"," hdca_e --> hdca_c","Hexadecanoate  n C160  transport in via uniport"
"710","HDCEAt: hdcea_e --> hdcea_c","HDCEAt"," hdcea_e --> hdcea_c","Hexadecenoate  n C161  transport in via uniport"
"711","HETZK: 4mhetz_c + atp_c --> 4mpetz_c + adp_c + h_c","HETZK"," 4mhetz_c + atp_c --> 4mpetz_c + adp_c + h_c","Hydroxyethylthiazole kinase"
"712","HEX1: atp_c + glc_D_c --> adp_c + g6p_c + h_c","HEX1"," atp_c + glc_D_c --> adp_c + g6p_c + h_c","Hexokinase (D-glucose:ATP)"
"713","HEX4: atp_c + man_c --> adp_c + h_c + man6p_c","HEX4"," atp_c + man_c --> adp_c + h_c + man6p_c","Hexokinase (D-mannose:ATP)"
"714","DASYN_SC: ctp_c + h_c + 0.01 pa_SC_c <=> 0.01 cdpdag_SC_c + ppi_c","DASYN_SC"," ctp_c + h_c + 0.01 pa_SC_c <=> 0.01 cdpdag_SC_c + ppi_c","CDP Diacylglycerol synthetase  yeast specific"
"715","HGNTOR: hgentis_c + o2_c --> 4mlacac_c + h_c","HGNTOR"," hgentis_c + o2_c --> 4mlacac_c + h_c","Homogentisateoxygen 1 2 oxidoreductase  decyclizing "
"716","GAT1_SC: 0.02 dcacoa_c + 0.06 ddcacoa_c + glyc3p_c + 0.17 hdcoa_c + 0.09 ocdycacoa_c + 0.24 odecoa_c + 0.27 pmtcoa_c + 0.05 stcoa_c + 0.1 tdcoa_c --> 0.01 1ag3p_SC_c + coa_c","GAT1_SC"," 0.02 dcacoa_c + 0.06 ddcacoa_c + glyc3p_c + 0.17 hdcoa_c + 0.09 ocdycacoa_c + 0.24 odecoa_c + 0.27 pmtcoa_c + 0.05 stcoa_c + 0.1 tdcoa_c --> 0.01 1ag3p_SC_c + coa_c","Glycerol 3 phosphate acyltransferase  glycerol 3 phosphate   yeast specific"
"717","HISTD: h2o_c + histd_c + 2.0 nad_c --> 3.0 h_c + his_L_c + 2.0 nadh_c","HISTD"," h2o_c + histd_c + 2.0 nad_c --> 3.0 h_c + his_L_c + 2.0 nadh_c","Histidinol dehydrogenase"
"718","HISTP: h2o_c + hisp_c --> histd_c + pi_c","HISTP"," h2o_c + hisp_c --> histd_c + pi_c","Histidinol-phosphatase"
"719","HISTRS: atp_c + his_L_c + trnahis_c --> amp_c + histrna_c + ppi_c","HISTRS"," atp_c + his_L_c + trnahis_c --> amp_c + histrna_c + ppi_c","Histidyl-tRNA synthetase"
"720","HISTRSm: atp_m + his_L_m + trnahis_m --> amp_m + histrna_m + ppi_m","HISTRSm"," atp_m + his_L_m + trnahis_m --> amp_m + histrna_m + ppi_m","Histidyl tRNA synthetase  mitochondrial"
"721","HISt2m: h_m + his_L_m <=> h_c + his_L_c","HISt2m"," h_m + his_L_m <=> h_c + his_L_c","Histidine mitochondrial transport via proton symport"
"722","HISt2r: h_e + his_L_e <=> h_c + his_L_c","HISt2r"," h_e + his_L_e <=> h_c + his_L_c","L histidine reversible transport via proton symport"
"723","HKYNH: h2o_c + hLkynr_c --> 3hanthrn_c + ala_L_c","HKYNH"," h2o_c + hLkynr_c --> 3hanthrn_c + ala_L_c","3 Hydroxy L kynurenine hydrolase"
"724","HMBS: h2o_c + 4.0 ppbng_c --> hmbil_c + 4.0 nh4_c","HMBS"," h2o_c + 4.0 ppbng_c --> hmbil_c + 4.0 nh4_c","Hydroxymethylbilane synthase"
"725","HMGCOAR: coa_c + mev_R_c + 2.0 nadp_c <=> 2.0 h_c + hmgcoa_c + 2.0 nadph_c","HMGCOAR"," coa_c + mev_R_c + 2.0 nadp_c <=> 2.0 h_c + hmgcoa_c + 2.0 nadph_c","Hydroxymethylglutaryl CoA reductase"
"726","HMGCOAS: coa_c + h_c + hmgcoa_c <=> aacoa_c + accoa_c + h2o_c","HMGCOAS"," coa_c + h_c + hmgcoa_c <=> aacoa_c + accoa_c + h2o_c","Hydroxymethylglutaryl CoA synthase"
"727","HMGCOASm: coa_m + h_m + hmgcoa_m <=> aacoa_m + accoa_m + h2o_m","HMGCOASm"," coa_m + h_m + hmgcoa_m <=> aacoa_m + accoa_m + h2o_m","Hydroxymethylglutaryl CoA synthase  mitochondrial"
"728","HMGCOAtm: hmgcoa_c <=> hmgcoa_m","HMGCOAtm"," hmgcoa_c <=> hmgcoa_m","Hydroxymethylglutaryl CoA reversible mitochondrial transport"
"729","HMPK1: 4ahmmp_c + atp_c --> 4ampm_c + adp_c + h_c","HMPK1"," 4ahmmp_c + atp_c --> 4ampm_c + adp_c + h_c","Hydroxymethylpyrimidine kinase (ATP)"
"730","HPPKm: 2ahhmp_m + atp_m --> 2ahhmd_m + amp_m + h_m","HPPKm"," 2ahhmp_m + atp_m --> 2ahhmd_m + amp_m + h_m","2 amino 4 hydroxy 6 hydroxymethyldihydropteridine diphosphokinase  mitochondrial"
"731","HPROa: 1p3h5c_c + 2.0 h_c + nadh_c --> 4hpro_LT_c + nad_c","HPROa"," 1p3h5c_c + 2.0 h_c + nadh_c --> 4hpro_LT_c + nad_c","L hydroxyproline reductase  NAD "
"732","HPROb: 1p3h5c_c + 2.0 h_c + nadph_c --> 4hpro_LT_c + nadp_c","HPROb"," 1p3h5c_c + 2.0 h_c + nadph_c --> 4hpro_LT_c + nadp_c","L hydroxyproline reductase  NADP "
"733","HPROxm: 4hpro_LT_m + nad_m --> 1p3h5c_m + 2.0 h_m + nadh_m","HPROxm"," 4hpro_LT_m + nad_m --> 1p3h5c_m + 2.0 h_m + nadh_m","L hydroxyproline dehydrogenase  NAD   mitochondrial"
"734","HPROym: 4hpro_LT_m + nadp_m --> 1p3h5c_m + 2.0 h_m + nadph_m","HPROym"," 4hpro_LT_m + nadp_m --> 1p3h5c_m + 2.0 h_m + nadph_m","L hydroxyproline dehydrogenase  NADP   mitochondrial"
"735","HSDxi: aspsa_c + h_c + nadh_c --> hom_L_c + nad_c","HSDxi"," aspsa_c + h_c + nadh_c --> hom_L_c + nad_c","Homoserine dehydrogenase  NADH   irreversible"
"736","MFAPS_SC: amet_c + 0.01 ptdmeeta_SC_c --> ahcys_c + h_c + 0.01 ptd2meeta_SC_c","MFAPS_SC"," amet_c + 0.01 ptdmeeta_SC_c --> ahcys_c + h_c + 0.01 ptd2meeta_SC_c","Methylene fatty acyl phospholipid synthase  yeast specific"
"737","PETOHM_SC: amet_c + 0.01 pe_SC_c --> ahcys_c + h_c + 0.01 ptdmeeta_SC_c","PETOHM_SC"," amet_c + 0.01 pe_SC_c --> ahcys_c + h_c + 0.01 ptdmeeta_SC_c","Phosphatidylethanolamine N methyltransferase  yeast specific"
"738","HSK: atp_c + hom_L_c --> adp_c + h_c + phom_c","HSK"," atp_c + hom_L_c --> adp_c + h_c + phom_c","Homoserine kinase"
"739","HSTPT: glu_L_c + imacp_c --> akg_c + hisp_c","HSTPT"," glu_L_c + imacp_c --> akg_c + hisp_c","Histidinol-phosphate transaminase"
"740","HXANt2r: h_e + hxan_e <=> h_c + hxan_c","HXANt2r"," h_e + hxan_e <=> h_c + hxan_c","Hypoxanthine reversible transport via proton symport"
"741","HXPRT: hxan_c + prpp_c --> imp_c + ppi_c","HXPRT"," hxan_c + prpp_c --> imp_c + ppi_c","Hypoxanthine phosphoribosyltransferase (Hypoxanthine)"
"742","HYPOE: h2o_c + pyam5p_c --> pi_c + pydam_c","HYPOE"," h2o_c + pyam5p_c --> pi_c + pydam_c","Hypothetical enyme"
"743","PINOS_SC: 0.01 cdpdag_SC_c + inost_c --> cmp_c + h_c + 0.01 ptd1ino_SC_c","PINOS_SC"," 0.01 cdpdag_SC_c + inost_c --> cmp_c + h_c + 0.01 ptd1ino_SC_c","Phosphatidylinositol synthase  yeast specific"
"744","ICDHy: icit_c + nadp_c --> akg_c + co2_c + nadph_c","ICDHy"," icit_c + nadp_c --> akg_c + co2_c + nadph_c",NA
"745","PMETM_SC: amet_c + 0.01 ptd2meeta_SC_c --> ahcys_c + h_c + 0.01 pc_SC_c","PMETM_SC"," amet_c + 0.01 ptd2meeta_SC_c --> ahcys_c + h_c + 0.01 pc_SC_c","Phosphatidyl N methylethanolamine N methyltransferase  yeast specific"
"746","ICDHyp: icit_x + nadp_x --> akg_x + co2_x + nadph_x","ICDHyp"," icit_x + nadp_x --> akg_x + co2_x + nadph_x","Isocitrate dehydrogenase  NADP "
"747","ICL: icit_c --> glx_c + succ_c","ICL"," icit_c --> glx_c + succ_c","Isocitrate lyase"
"748","ID3ACALDtm: id3acald_c <=> id3acald_m","ID3ACALDtm"," id3acald_c <=> id3acald_m","Indole 3 acetaldehyde mitochondrial transport via diffusion"
"749","IG3PS: gln_L_c + prlp_c --> aicar_c + eig3p_c + glu_L_c + h_c","IG3PS"," gln_L_c + prlp_c --> aicar_c + eig3p_c + glu_L_c + h_c","Imidazole-glycerol-3-phosphate synthase"
"750","IGPDH: eig3p_c --> h2o_c + imacp_c","IGPDH"," eig3p_c --> h2o_c + imacp_c","Imidazoleglycerol-phosphate dehydratase"
"751","PSERDm_SC: h_m + 0.01 ps_SC_m --> co2_m + 0.01 pe_SC_m","PSERDm_SC"," h_m + 0.01 ps_SC_m --> co2_m + 0.01 pe_SC_m","Phosphatidylserine decarboxylase  yeast specific  mitochondrial"
"752","PSERS_SC: 0.01 cdpdag_SC_c + ser_L_c <=> cmp_c + h_c + 0.01 ps_SC_c","PSERS_SC"," 0.01 cdpdag_SC_c + ser_L_c <=> cmp_c + h_c + 0.01 ps_SC_c","Phosphatidylserine synthase  yeast specific"
"753","ILETAm: akg_m + ile_L_m <=> 3mop_m + glu_L_m","ILETAm"," akg_m + ile_L_m <=> 3mop_m + glu_L_m","Isoleucine transaminase  mitochondrial"
"754","ILETRS: atp_c + ile_L_c + trnaile_c --> amp_c + iletrna_c + ppi_c","ILETRS"," atp_c + ile_L_c + trnaile_c --> amp_c + iletrna_c + ppi_c","Isoleucyl-tRNA synthetase"
"755","ILETRSm: atp_m + ile_L_m + trnaile_m --> amp_m + iletrna_m + ppi_m","ILETRSm"," atp_m + ile_L_m + trnaile_m --> amp_m + iletrna_m + ppi_m","Isoleucyl tRNA synthetase  mitochondrial"
"756","ILEt2r: h_e + ile_L_e <=> h_c + ile_L_c","ILEt2r"," h_e + ile_L_e <=> h_c + ile_L_c","L isoleucine reversible transport via proton symport"
"757","IMPC: h2o_c + imp_c <=> fprica_c","IMPC"," h2o_c + imp_c <=> fprica_c","IMP cyclohydrolase"
"758","IMPD: h2o_c + imp_c + nad_c --> h_c + nadh_c + xmp_c","IMPD"," h2o_c + imp_c + nad_c --> h_c + nadh_c + xmp_c","IMP dehydrogenase"
"759","IND3ACtm: ind3ac_c <=> ind3ac_m","IND3ACtm"," ind3ac_c <=> ind3ac_m","Indole 3 acetate mitochondrial transport via diffusion"
"760","INDPYRD: h_c + indpyr_c <=> co2_c + id3acald_c","INDPYRD"," h_c + indpyr_c <=> co2_c + id3acald_c","Indole 3 pyruvate decarboxylase"
"761","INSK: atp_c + ins_c --> adp_c + h_c + imp_c","INSK"," atp_c + ins_c --> adp_c + h_c + imp_c","Insosine kinase"
"762","ASPCTn: asp_L_n + cbp_n --> cbasp_n + h_n + pi_n","ASPCTn"," asp_L_n + cbp_n --> cbasp_n + h_n + pi_n",NA
"763","INSt2: h_e + ins_e --> h_c + ins_c","INSt2"," h_e + ins_e --> h_c + ins_c","Inosine transport in via proton symport"
"764","IPCS124_SC: cer1_24_c + 0.01 ptd1ino_SC_c --> 0.01 12dgr_SC_c + 0.01 ipc124_SC_c","IPCS124_SC"," cer1_24_c + 0.01 ptd1ino_SC_c --> 0.01 12dgr_SC_c + 0.01 ipc124_SC_c","Inositol phosphorylceramide synthase  ceramide 1  24C   yeast specific"
"765","IPCS126_SC: cer1_26_c + 0.01 ptd1ino_SC_c --> 0.01 12dgr_SC_c + 0.01 ipc126_SC_c","IPCS126_SC"," cer1_26_c + 0.01 ptd1ino_SC_c --> 0.01 12dgr_SC_c + 0.01 ipc126_SC_c","Inositol phosphorylceramide synthase  ceramide 1  26C   yeast specific"
"766","IPCS224_SC: cer2_24_c + 0.01 ptd1ino_SC_c --> 0.01 12dgr_SC_c + 0.01 ipc224_SC_c","IPCS224_SC"," cer2_24_c + 0.01 ptd1ino_SC_c --> 0.01 12dgr_SC_c + 0.01 ipc224_SC_c","Inositol phosphorylceramide synthase  ceramide 2  24C   yeast specific"
"767","IPCS226_SC: cer2_26_c + 0.01 ptd1ino_SC_c --> 0.01 12dgr_SC_c + 0.01 ipc226_SC_c","IPCS226_SC"," cer2_26_c + 0.01 ptd1ino_SC_c --> 0.01 12dgr_SC_c + 0.01 ipc226_SC_c","Inositol phosphoryceramide synthase  ceramide 2  26C   yeast specific"
"768","IPCS324_SC: cer3_24_c + 0.01 ptd1ino_SC_c --> 0.01 12dgr_SC_c + 0.01 ipc324_SC_c","IPCS324_SC"," cer3_24_c + 0.01 ptd1ino_SC_c --> 0.01 12dgr_SC_c + 0.01 ipc324_SC_c","Inositol phosphorylceramide synthase  ceramide 3  24C   yeast specific"
"769","IPCS326_SC: cer3_26_c + 0.01 ptd1ino_SC_c --> 0.01 12dgr_SC_c + 0.01 ipc326_SC_c","IPCS326_SC"," cer3_26_c + 0.01 ptd1ino_SC_c --> 0.01 12dgr_SC_c + 0.01 ipc326_SC_c","Inositol phosphorylceramide synthase  ceramide 3  26C   yeast specific"
"770","IPDDI: ipdp_c <=> dmpp_c","IPDDI"," ipdp_c <=> dmpp_c","Isopentenyl-diphosphate D-isomerase"
"771","DHORD4: dhor_S_c + q6_m <=> orot_c + q6h2_m","DHORD4"," dhor_S_c + q6_m <=> orot_c + q6h2_m",NA
"772","DHORTSn: dhor_S_n + h2o_n <=> cbasp_n + h_n","DHORTSn"," dhor_S_n + h2o_n <=> cbasp_n + h_n",NA
"773","OMPDC: h_c + orot5p_c --> co2_c + ump_c","OMPDC"," h_c + orot5p_c --> co2_c + ump_c","Orotidine-5'-phosphate decarboxylase"
"774","IPPS: 3mob_c + accoa_c + h2o_c --> 3c3hmp_c + coa_c + h_c","IPPS"," 3mob_c + accoa_c + h2o_c --> 3c3hmp_c + coa_c + h_c","2-isopropylmalate synthase"
"775","ORPT: orot5p_c + ppi_c <=> orot_c + prpp_c","ORPT"," orot5p_c + ppi_c <=> orot_c + prpp_c","Orotate phosphoribosyltransferase"
"776","ITCOALm: atp_m + coa_m + itacon_m <=> adp_m + itaccoa_m + pi_m","ITCOALm"," atp_m + coa_m + itacon_m <=> adp_m + itaccoa_m + pi_m","Itaconate  CoA ligase  ADP forming   mitochondrial"
"777","TMDS: dump_c + mlthf_c --> dhf_c + dtmp_c","TMDS"," dump_c + mlthf_c --> dhf_c + dtmp_c","Thymidylate synthase"
"778","ACS: ac_c + atp_c + coa_c --> accoa_c + amp_c + ppi_c","ACS"," ac_c + atp_c + coa_c --> accoa_c + amp_c + ppi_c","Acetyl-CoA synthetase"
"779","KYN: Lkynr_c + h2o_c --> ala_L_c + anth_c + h_c","KYN"," Lkynr_c + h2o_c --> ala_L_c + anth_c + h_c","Kynureninase"
"780","KYN3OX: Lkynr_c + h_c + nadph_c + o2_c --> h2o_c + hLkynr_c + nadp_c","KYN3OX"," Lkynr_c + h_c + nadph_c + o2_c --> h2o_c + hLkynr_c + nadp_c","Kynurenine 3 monooxygenase"
"781","Kt2r: h_e + k_e <=> h_c + k_c","Kt2r"," h_e + k_e <=> h_c + k_c","Potassium reversible transport  via proton symport"
"782","HCITSm: accoa_m + akg_m + h2o_m --> coa_m + h_m + hcit_m","HCITSm"," accoa_m + akg_m + h2o_m --> coa_m + h_m + hcit_m","Homocitrate synthase"
"783","LEUTAm: akg_m + leu_L_m <=> 4mop_m + glu_L_m","LEUTAm"," akg_m + leu_L_m <=> 4mop_m + glu_L_m","Leucine transaminase  mitochondrial"
"784","LEUTRS: atp_c + leu_L_c + trnaleu_c --> amp_c + leutrna_c + ppi_c","LEUTRS"," atp_c + leu_L_c + trnaleu_c --> amp_c + leutrna_c + ppi_c","Leucyl-tRNA synthetase"
"785","LEUTRSm: atp_m + leu_L_m + trnaleu_m --> amp_m + leutrna_m + ppi_m","LEUTRSm"," atp_m + leu_L_m + trnaleu_m --> amp_m + leutrna_m + ppi_m","Leucyl tRNA synthetase  mitochondrial"
"786","LEUt2r: h_e + leu_L_e <=> h_c + leu_L_c","LEUt2r"," h_e + leu_L_e <=> h_c + leu_L_c","L leucine reversible transport via proton symport"
"787","LGTHL: gthrd_c + mthgxl_c --> lgt_S_c","LGTHL"," gthrd_c + mthgxl_c --> lgt_S_c","Lactoylglutathione lyase"
"788","C14STR: 44mctr_c + h_c + nadph_c --> 44mzym_c + nadp_c","C14STR"," 44mctr_c + h_c + nadph_c --> 44mzym_c + nadp_c","C 14 sterol reductase"
"789","C24STRer: ergtetrol_r + h_r + nadph_r --> ergst_r + nadp_r","C24STRer"," ergtetrol_r + h_r + nadph_r --> ergst_r + nadp_r","C s24 sterol reductase  endoplamic reticular"
"790","LPP_SC: 0.01 dagpy_SC_c + h2o_c --> h_c + 0.01 pa_SC_c + pi_c","LPP_SC"," 0.01 dagpy_SC_c + h2o_c --> h_c + 0.01 pa_SC_c + pi_c","Lipid phosphate phosphatase  yeast specific"
"791","LYSTRS: atp_c + lys_L_c + trnalys_c --> amp_c + lystrna_c + ppi_c","LYSTRS"," atp_c + lys_L_c + trnalys_c --> amp_c + lystrna_c + ppi_c","Lysyl-tRNA synthetase"
"792","LYSTRSm: atp_m + lys_L_m + trnalys_m --> amp_m + lystrna_m + ppi_m","LYSTRSm"," atp_m + lys_L_m + trnalys_m --> amp_m + lystrna_m + ppi_m","Lysyl tRNA synthetase  mitochondrial"
"793","LYSt2m: h_c + lys_L_c <=> h_m + lys_L_m","LYSt2m"," h_c + lys_L_c <=> h_m + lys_L_m","Lysine mitochondrial transport via proton symport"
"794","LYSt2r: h_e + lys_L_e <=> h_c + lys_L_c","LYSt2r"," h_e + lys_L_e <=> h_c + lys_L_c","L lysine reversible transport via proton symport"
"795","L_LACDm: 2.0 ficytc_m + lac_L_m --> 2.0 focytc_m + pyr_m","L_LACDm"," 2.0 ficytc_m + lac_L_m --> 2.0 focytc_m + pyr_m",NA
"796","L_LACt2r: h_e + lac_L_e <=> h_c + lac_L_c","L_LACt2r"," h_e + lac_L_e <=> h_c + lac_L_c","L lactate reversible transport via proton symport"
"797","M1PD: mnl1p_c + nad_c <=> f6p_c + h_c + nadh_c","M1PD"," mnl1p_c + nad_c <=> f6p_c + h_c + nadh_c",NA
"798","MACACI: 4mlacac_c --> 4fumacac_c","MACACI"," 4mlacac_c --> 4fumacac_c","Maleylacetoacetate isomerase"
"799","MALOAAtp: mal_L_x + oaa_c <=> mal_L_c + oaa_x","MALOAAtp"," mal_L_x + oaa_c <=> mal_L_c + oaa_x","Malateoxaloacetate shuttle"
"800","MALSp: accoa_x + glx_x + h2o_x --> coa_x + h_x + mal_L_x","MALSp"," accoa_x + glx_x + h2o_x --> coa_x + h_x + mal_L_x","Malate synthase"
"801","MALT: h2o_c + malt_c --> 2.0 glc_D_c","MALT"," h2o_c + malt_c --> 2.0 glc_D_c","Alpha glucosidase"
"802","MALTt2: h_e + malt_e --> h_c + malt_c","MALTt2"," h_e + malt_e --> h_c + malt_c","Maltose transport in via proton symport"
"803","MALt2r: h_e + mal_L_e --> h_c + mal_L_c","MALt2r"," h_e + mal_L_e --> h_c + mal_L_c","L malate reversible transport via proton symport"
"804","MALtm: mal_L_c + pi_m <=> mal_L_m + pi_c","MALtm"," mal_L_c + pi_m <=> mal_L_m + pi_c","Malate transport  mitochondrial"
"805","C3STDH1: 4mzym_int1_c + nad_c --> 4mzym_int2_c + co2_c + h_c + nadh_c","C3STDH1"," 4mzym_int1_c + nad_c --> 4mzym_int2_c + co2_c + h_c + nadh_c","C 3 sterol dehydrogenase  4 methylzymosterol "
